timestamp,title,company_name,headquarters,post_date,categories,offer_url
2026-04-18 16:34:11,Full-stack/Backend developers LLM focused.,CloudDevs,San Francisco,2026-04-07,"[""Featured"", ""Contract"", ""$50,000 - $74,999 USD"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/clouddevs-full-stack-backend-developers-llm-focused
2026-04-18 16:34:11,Backend Engineer (TypeScript/Node.js) DevOps Mindset (m/w/d),Glückliche Gäste,"Remote, hybrid",2026-04-09,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/gluckliche-gaste-backend-engineer-typescript-node-js-devops-mindset-m-w-d
2026-04-18 16:34:11,Java Developer - AI (Backend),CloudDevs,San Francisco,2026-03-19,"[""Featured"", ""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/clouddevs-java-developer-ai-backend
2026-04-18 16:34:11,Lead Backend Software Engineer (Product API),Philo,"San Francisco, CA, Brooklyn, NY, Cambridge, MA or remote",2026-04-08,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/philo-lead-backend-software-engineer-product-api
2026-04-18 16:34:11,Full Stack Developer - Backend Focus,31 Green Ltd,"Islamabad, Federal, Pakistan",2026-04-07,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/31-green-ltd-full-stack-developer-backend-focus
2026-04-18 16:34:11,Senior Backend Application Engineer - Product & Platform,Manifest Cyber Public,Remote-US,2026-04-07,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/manifest-cyber-public-senior-backend-application-engineer-product-platform
2026-04-18 16:34:11,Senior Backend / Product Engineer (AI Platform),Virtasant,"Frost Bank Tower Austin, North America, 78701 United States",2026-03-21,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/virtasant-senior-backend-product-engineer-ai-platform
2026-04-18 16:34:11,Senior Software Engineer - Backend/Python - USA Only (100% Remote),Close,USA,2026-03-20,"[""Top 100"", ""Full-Time"", ""$100,000 or more USD"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/close-senior-software-engineer-backend-python-usa-only-100-remote-1
2026-04-18 16:34:22,Senior Frontend Engineer - Product,Feedzai,Portugal,2026-04-09,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/feedzai-senior-frontend-engineer-product
2026-04-18 16:34:22,Senior Frontend Engineer,Level,"Asheville, NC",2026-04-02,"[""Full-Time"", ""$100,000 or more USD"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/level-senior-frontend-engineer
2026-04-18 16:34:22,Senior Frontend Developer,Sanctuary Computer,New York City,2026-03-27,"[""Contract"", ""$100,000 or more USD"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/sanctuary-computer-senior-frontend-developer-1
